PMID,Phase,Trial name or ID,Cancer type,ADC agent,Payload type,Target agent,"Total patient number, n","Patients with any grade AEs, n(%)","Patients with grade 3 or higher AEs, n(%)","Patients with AEs leading to discontinuation, n(%)"
29133014,II,SG035-0001,Classical HL,Brentuximab Vedotin (SGN-35),MMAE,CD30,102,NA,NA,NA
22080439,I,SGN35-015,Lymphoma,Brentuximab Vedotin (SGN-35),MMAE,CD30,44,NA,NA,13 (30%)
26377597,II,GO29044,Older HL,Brentuximab Vedotin (SGN-35),MMAE,CD30,27,NA,13 (48%),11 (41%)
30680712,I,PF-06647263,Solid tumors,PF-06647263,Calicheamicin,EFNA4,60,53 (88%),20 (25%),12 (38%)
32914879,II,ADVL1522,Childre’s tumors,Lorvotuzumab Mertansine (IMGN901),DM1,CD56,61,22 (36%),20 (33%),NA
31540980,I,GO2776,NSCLC,Lifastuzumab Vedotin (DNIB0600A),MMAE,NaPi2b,87,77 (89%),41 (47%),12 (14%)
32521310,I,ADCT-301-002,ALL,Camidanlumab Tesirine (ADCT-301),PBD,CD25,35,20 (57%),11 (31%),4 (11%)
29533458,II,M13-379,Solid tumors,Depatuxizumab Mafodotin (ABT-414),MMAF,EGFR,56,NA,NA,11 (20%)
28679770,I/II,IMMU-132-01,SCLC,Sacituzumab Govitecan (hRS7-SN38),SN-38,Trop-2,53,NA,NA,NA
33211842,I,ADCT-402-101,B-NHL,Loncastuximab Tesirine (ADCT-402),PBD,CD19,183,NA,NA,35 (19%)
34048682,I,ADCT-301-001,Lymphoma,Camidanlumab Tesirine (ADCT-301),PBD,CD25,133,116 (88%),NA,31 (23%)
32513564,I,SCRX00-3-001,Ovarian cancer,Tamrintamab Pamozirine (SC-003),PBD,DPEP3,74,64 (87%),NA,14 (19%)
34242790,I,SCRX001-004,Extensive-Stage SCLC,Rovalpituzumab Tesirine (SC16LD6.5),PBD,DLL3,26,24 (92%),NA,7 (28%)
32213105,I,15051,Solid tumors,Anetumab Ravtansine (BAY94-9343),DM4,Mesothelin,148,88 (59%),26 (18%),3 (2%)
28548889,I/II,IMMU-132-01,NSCLC,Sacituzumab Govitecan (hRS7-SN38),SN-38,Trop-2,54,NA,NA,2 (4%)
34980599,I/Ib,GO29687,B-NHL,DCDS0780A,MMAE,CD79b,60,54 (90%),NA,21 (35%)
33528890,I,BAT-8001-001-CR,Breast cancer,BAT8001,Geldanamycin,HER2,29,29 (100%),14 (48%),0 (0%)
24652992,II,SGN35-012,TCL,Brentuximab Vedotin (SGN-35),MMAE,CD30,35,NA,NA,7 (20%)
30522922,III,ECHELON-2,TCL,Brentuximab Vedotin (SGN-35),MMAE,CD30,223,NA,NA,14 (6%)
29313813,II,UMIN000017709,NSCLC,Trastuzumab Emtansine (T-DM1),DM1,HER2,15,NA,NA,2 (13%)
23382472,II,BO21976,Breast cancer,Trastuzumab Emtansine (T-DM1),DM1,HER2,69,NA,32 (46%),5 (7%)
25573987,II,SGN35-012,DLBCL,Brentuximab Vedotin (SGN-35),MMAE,CD30,68,NA,NA,6 (12%)
32012214,I,ADCT-402-102,B-ALL,Loncastuximab Tesirine (ADCT-402),PBD,CD19,35,19 (54%),NA,NA
34548309,I,U31402-A-U102,NSCLC,Patritumab Deruxtecan (HER3-DXd),DXd,HER3,81,78 (96%),38 (47%),7 (9%)
33126339,I,BP29920,Breast cancer,Trastuzumab Emtansine (T-DM1),DM1,HER2,11,11 (100%),7 (64%),1 (9%)
34083236,I,PROCLAIM-CX-2029,Solid tumors,CX-2029,MMAE,CD71,45,45 (100%),27 (60%),0 (0%)
33823285,III,MERU,Extensive-Stage SCLC,Rovalpituzumab Tesirine (SC16LD6.5),PBD,DLL3,368,290 (79%),NA,74 (20%)
32946924,I/II,IMMU-132-01,Breast cancer,Sacituzumab Govitecan (hRS7-SN38),SN-38,Trop-2,54,NA,NA,2 (4%)
26775883,II,EFC116,ALL,Coltuximab Ravtansine,DM4,CD19,36,22 (61%),NA,5 (14%)
30920645,III,INO-VATE,ALL,Inotuzumab Ozogamicin (PF-5208773),Calicheamicin,CD22,164,144 (88%),115 (70%),31 (19%)
26917603,II,JO22997,Breast cancer,Trastuzumab Emtansine (T-DM1),DM1,HER2,73,70 (96%),41 (56%),2 (3%)
34529955,I/IIa,983 MM,MM,Indatuximab Ravtansine,DM4,CD138,64,NA,NA,9 (14%)
34590018,I,PrECOG 0504,NSCLC,Glembatumumab Vedotin (CDX-011),MMAE,gpNMB,13,NA,NA,NA
26195720,II,IRB-21324,MF SS,Brentuximab Vedotin (SGN-35),MMAE,CD30,32,NA,10 (31%),6 (19%)
28600132,III,ALCANZA TCL,TCL,Brentuximab Vedotin (SGN-35),MMAE,CD30,66,57 (86%),19 (29%),16 (24%)
31502117,I,16897,Solid tumors,Aprutumab Ixadotin (BAY 1187982),MMAW,FGFR2,20,17 (85%),9 (45%),5 (25%)
35358455,II,15743,Pleural mesothelioma,Anetumab Ravtansine (BAY94-9343),DM4,Mesothelin,163,NA,78 (48%),NA
29333575,I,B7401001,Solid tumors,PF-06664178 (RN927C),Aur0101,Trop-2,31,NA,14 (45%),3 (10%)
33289953,II,AGS-16C3F-15-3,RCC,AGS-16C3F,MMAF,ENPP3,67,53 (79%),17 (26%),7 (5%)
34264412,I,15383,Solid tumors,LY3076226,DM4,FGFR3,25,20 (80%),2 (8%),0 (0%)
31586757,II,AOST15,Osteosarcoma,Glembatumuma b Vedotin (CDX-011),MMAE,gpNMB,22,NA,NA,NA
22649126,II,BO22857,Breast cancer,Trastuzumab Emtansine (T-DM1),DM1,HER2,110,NA,NA,7 (6%)
25713436,II,BO22857,Early-stage breast cancer,Trastuzumab Emtansine (T-DM1),DM1,HER2,148,NA,61 (41%),20 (14%)
28526538,III,TH3RESA,Breast cancer,Trastuzumab Emtansine (T-DM1),DM1,HER2,403,NA,NA,59 (15%)
29982805,I,M12-356,Glioblastoma,Depatuxizumab Mafodotin (ABT-414),MMAF,EGFR,60,NA,24 (40%),4 (7%)
32524319,I,M15-916,Solid tumors,ABBV-176,PBD,Prolactin receptor,19,14 (73%),6 (32%),3 (16%)
29989854,II,15-335,Lung cancer,Trastuzumab Emtansine (T-DM1),DM1,HER2,18,NA,NA,0 (0%)
34534430,II,DESTINY-Lung01,NSCLC,Trastuzumab Deruxtecan (T-DXd),DXd,HER2,91,88 (97%),42 (46%),23 (25%)
27793850,I,GO0076,Ovarian or Pancreatic cancer,DMUC5754A,MMAE,MUC16,77,71 (92%),NA,6 (8%)
34627611,I,GO29213,Ovarian cancer,DMUC4064A,MMAE,MUC16,65,55 (85%),16 (25%),12 (18%)
34314018,II,DREAMM-2,MM,Belantamab Mafodotin (GSK2857916),MMAF,CD38,95,84 (88%),54 (57%),9 (9%)
33929895,II,TROPHY-U-01,Urothelial carcinoma,Sacituzumab Govitecan (hRS7-SN38),SN-38,Trop-2,113,107 (95%),NA,7 (6%)
34329577,I/II,RG1714038,HL,Brentuximab Vedotin (SGN-35),MMAE,CD30,45,NA,NA,11 (24%)
34083232,I,B7661001,Solid tumors,Cofetuzumab Pelidotin (PF-06647020),Aur0101,PTK7,112,96 (86%),44 (39%),3 (3%)
33652156,I/II,M16-300,Extensive-Stage SCLC,Rovalpituzumab Tesirine (SC16LD6.5),PBD,DLL3,42,41 (98%),27 (64%),6 (14%)
34354225,I/II,SCRX001-006,Solid tumors,Rovalpituzumab Tesirine (SC16LD6.5),PBD,DLL3,200,181 (91%),97 (49%),48 (24%)
29572158,I/II,090516,AML,Gemtuzumab Ozogamicin,Calicheamicin,CD33,50,NA,NA,NA
32058843,Ib,DS8201-A-J101,Breast cancer,Trastuzumab Deruxtecan (T-DXd),DXd,HER2,54,NA,NA,11 (20%)
31825192,II,DESTINY-Breast01,Breast cancer,Trastuzumab Deruxtecan (T-DXd),DXd,HER2,184,183 (99%),89 (48%),27 (15%)
35665782,III,DESTINY-Breast04,Breast cancer,Trastuzumab Deruxtecan (T-DXd),DXd,HER2,373,369 (99%),195 (53%),56 (15%)
30093227,Ib,FORWARD II,Ovarian cancer,Mirvetuximab Soravtansine (IMGN853),DM4,FRα,18,NA,NA,1 (6%)
32534811,Ib,GO29006,Ovarian cancer,Lifastuzumab Vedotin (DNIB0600A),MMAE,NaPi2b,41,40 (98%),30 (73%),7 (17%)
33667670,III,FORWARD I,Ovarian cancer,Mirvetuximab Soravtansine (IMGN853),DM4,FRα,243,230 (95%),61 (25%),11 (5%)
31506387,II,TRINITY,SCLC,Rovalpituzumab Tesirine (SC16LD6.5),PBD,DLL3,339,308 (91%),135 (40%),33 (10%)
32438272,I/Ib,SCRX002-001,SCLC LCNEC,SC-002 (SC-DR002),PBD,DLL3,35,28 (80%),NA,13 (37%)
30935953,II,ROMULUS,DLBCL Follicular lymphoma,Polatuzumab Vedotin or Pinatuzumab Vedotin,MMAE,CD79b or CD22,122,NA,NA,57 (47%)
31860140,I,13-040,AML,Brentuximab Vedotin (SGN-35),MMAE,CD30,22,NA,NA,NA
34609773,I/II,INTELLANCE-J,Malignant glioma,Depatuxizumab Mafodotin (ABT-414),MMAF,EGFR,53,NA,NA,1 (5%)
35007127,II,AALL1621,B-ALL,Inotuzumab Ozogamicin (PF-5208773),Calicheamicin,CD22,48,NA,NA,NA
24814862,I/II,JapicCTI-111650,HL sALCL,Brentuximab Vedotin (SGN-35),MMAE,CD30,20,NA,NA,1 (5%)
32081463,Ib,IMGN853-0402,Ovarian cancer,Mirvetuximab Soravtansine (IMGN853),DM4,FRα,66,65 (98%),NA,19 (29%)
25267741,I/II,CR011-CLN-11,Melanoma,Glembatumumab Vedotin (CDX-011),MMAE,gpNMB,117,NA,NA,11 (9%)
30690710,II,CDX011-05,Melanoma,Glembatumumab Vedotin (CDX-011),MMAE,gpNMB,62,55 (89%),21 (34%),4 (6%)
26576779,I,MDX1203-01,RCC B-NHL,BMS-936561 (MDX-1203),Calicheamicin,CD70,26,26 (26%),9 (35%),11 (42%)
30624766,I,SGN70A-001,RCC,SGN-CD70A,PBD,CD70,18,NA,NA,5 (28%)
25925619,I,GO01294,NHL CLL,Polatuzumab Vedotin,MMAE,CD79b,95,NA,NA,23 (51%)
34045233,I/II,D5760C00001,Breast cancer Gastric cancer,MEDI4276,DM1,HER2,47,43 (92%),17 (36%),5 (11%)
34665942,II,RC48-C008,G/GEJ cancer,RC48-ADC,MMAE,HER2,125,122 (98%),40 (32%),18 (14%)
28056202,III,MARIANNE,Breast cancer,Trastuzumab Emtansine (T-DM1),DM1,HER2,727,718 (99%),333 (46%),136 (19%)
30206164,II,BO29389,NSCLC,Trastuzumab Emtansine (T-DM1),DM1,HER2,49,NA,NA,1 (2%)
30663074,I,PSMA-ADC 1301,CRPC,PSMAADC,MMAE,PSMA,52,NA,NA,0 (0%)
24132920,I,TED6828,B-NHL,SAR3419,DM4,CD19,69,NA,NA,NA
30887250,I,B7501001,Solid tumors,PF-06650808,Auristatin-based cytotoxic,Notch3,40,35 (88%),21 (53%),3 (8%)
31356140,II,SGN22E-001,Urothelial carcinoma,Enfortumab Vedotin (ASG-22CE),MMAE,Nectin-4,125,117 (94%),68 (54%),15 (12%)
32031899,I,EV-101,Urothelial carcinoma,Enfortumab Vedotin (ASG-22CE),MMAE,Nectin-4,155,145 (94%),53 (34%),16 (10%)
31154523,I,20090505,Malignant glioma,AMG 595,DM1,EGFR,32,28 (88%),17 (53%),3 (9%)
16934909,II,SG0002-015 NSCLC,NSCLC,SGN-15 (cBR96-Doxorubicin),Doxorubicin,Ley,59,NA,NA,NA
34615718,I/IIa,CA008-002,Solid tumors,BMS-986148,DM4,Mesothelin,126,110 (87%),55 (44%),17 (13%)
27932068,I/II,SCRX16-001,SCLC,Rovalpituzumab Tesirine (SC16LD6.5),PBD,DLL3,74,65 (88%),28 (38%),18 (22%)
31385109,I,GO27935,Melanoma,DEDN6526A,MMAE,ETBR,53,51 (96%),22 (42%),5 (9%)
31693429,Ib/II,GO29365,DLBCL,Polatuzumab Vedotin,MMAE,CD79b,39,NA,NA,NA
26961907,I,IMGN-02,Solid tumors,Lorvotuzumab Mertansine (IMGN901),DM1,CD56,97,73 (75%),36 (37%),6 (6%)
28070718,I,B4481001,Solid tumors,PF-06263507,MMAF,5T4,26,22 (85%),3 (12%),3 (12%)
30993587,II,SGN35-013,Solid tumors,Brentuximab Vedotin (SGN-35),MMAE,CD30,63,46 (73%),NA,6 (10%)
33109737,II,RC48-C005,Urothelial carcinoma,RC48-ADC,MMAE,HER2,43,43 (100%),25 (58%),11 (26%)
33926914,I,MORAb-202-J081-101,Solid tumors,MORAb-202,Eribulin,FRα,22,21 (95%),3 (14%),1 (5%)
31047804,I,DS8201-A-J101,Gastric cancer,Trastuzumab Deruxtecan (T-DXd),DXd,HER2,44,43 (98%),28 (64%),5 (11%)
32469182,II,DESTINY-Gastric01,Gastric cancer,Trastuzumab Deruxtecan (T-DXd),DXd,HER2,125,122 (98%),94 (75%),12 (10%)
33961795,II,DESTINY-CRC01,Colorectal cancer,Trastuzumab Deruxtecan (T-DXd),DXd,HER2,78,73 (94%),38 (49%),2 (3%)
28341109,I/II,Immunogen 0007,Extensive-Stage SCLC,Lorvotuzumab Mertansine (IMGN901),DM1,CD56,127,90 (96%),113 (89%),37 (29%)
25944802,I/II,IMMU-132-01,Solid tumors,Sacituzumab Govitecan (hRS7-SN38),SN-38,Trop-2,25,NA,NA,NA
29453628,I,IMGN301,B-NHL,IMGN529,DM1,CD37,49,NA,NA,5 (10%)
29196412,I,SGN33A-001,AML,Vadastuximab Talirine (SGN-CD33A),PBD,CD33,131,NA,NA,34 (26%)
30718503,I,GO27825,MM,DFRF4539A,MMAE,FcRH5,39,30 (77%),9 (23%),7 (18%)
34048680,III,ECHELON-1,Classical HL,Brentuximab Vedotin (SGN-35),MMAE,CD30,662,641 (97%),549 (83%),88 (13%)
30285518,I/Ib,M14-237,Solid tumors,Telisotuzumab Vedotin (ABBV-399),MMAE,c-Met,48,34 (71%),8 (17%),11 (23%)
31444589,I,7465-CL-0101,Urothelial carcinoma,Enfortumab Vedotin (ASG-22CE),MMAE,Nectin-4,17,15 (88%),NA,3 (18%)
34426442,I,DS8201-A-A104,Solid tumors,Trastuzumab Deruxtecan (T-DXd),DXd,HER2,40,38 (95%),17 (43%),7 (18%)
31047803,I,DS8201-A-J101,Breast cancer,Trastuzumab Deruxtecan (T-DXd),DXd,HER2,115,113 (98%),57 (50%),13 (11%)
25142258,I,SGN75-001,NHL RCC,SGN-75,MMAF,CD70,47,38 (81%),NA,14 (24%)
33942442,II,JO40762,DLBCL,Polatuzumab Vedotin,MMAE,CD79b,35,33 (94%),NA,7 (20%)
29848572,I,2009002,RCC,AGS-16M8F,MMAF,ENPP3,26,26 (100%),16 (62%),4 (4%)
34955432,III,CTRI/2018/07/014881,Breast cancer,Trastuzumab Emtansine (ZRC-3256) Trastuzumab Emtansine (T-DM1),DM1,HER2,168,NA,NA,0 (0%)
34904799,III,POLARIX,DLBCL,Polatuzumab Vedotin,MMAE,CD79b,435,426 (98%),264 (61%),27 (6%)
32694157,I,GO29146,Solid tumors,DLYE5953A,MMAE,LY6E,68,63 (93%),17 (25%),5 (7%)
29748443,II,ARD10248,DLBCL,Coltuximab Ravtansine (SAR3419),DM4,CD19,61,33 (54%),NA,4 (7%)
30894515,I,117159 MM,MM,GSK2857916,MMAF,BCMA,35,NA,NA,4 (11%)
32213540,I,DS8201-A-J101,Solid tumors,Trastuzumab Deruxtecan (T-DXd),DXd,HER2,59,NA,NA,4 (11%)
31446987,I,SCRX001-008,SCLC,Rovalpituzumab Tesirine (SC16LD6.5),PBD,DLL3,29,29 (100%),15 (52%),4 (14%)
34016993,IIb,METRIC,TNBC,Glembatumumab Vedotin (CDX-011),MMAE,gpNMB,213,211 (99%),150 (70%),31 (15%)
31747009,II,EORTC 1410,Glioblastoma,Depatuxizumab Mafodotin (ABT-414),MMAF,EGFR,84,NA,NA,12 (7%)
23020162,III,EMILIA,Breast cancer,Trastuzumab Emtansine (T-DM1),DM1,HER2,490,470 (96%),200 (41%),29 (6%)
31969330,I/Ib,M14-467,MM,ABBV-838,MMAE,SLAMF7/CS1,75,55 (71%),30 (40%),16 (21%)
30516102,III,KATHERINE,Breast cancer,Trastuzumab Emtansine (T-DM1),DM1,HER2,740,731 (99%),190 (26%),133 (18%)
33221175,II,S1400K,Lung Cancer,Telisotuzumab Vedotin (ABBV-399),MMAE,c-Met,23,NA,7 (30%),NA
26823490,I,DMO493g ,Ovarian Cancer,DMOT4039A,MMAE,Mesothelin,71,39 (72%),14 (26%),4 (6%)
25847941,II,EMERGE,Breast cancer,Glembatumumab Vedotin (CDX-011),MMAE,gpNMB,96,87 (91%),39 (40%),8 (8%)
21047225,I,SG035-001,Lymphomas,Brentuximab Vedotin (SGN-35),MMAE,CD30,45,NA,NA,12 (27%)
33991512,II,EV-201,Urothelial carcinoma,Enfortumab Vedotin (ASG-22CE),MMAE,Nectin-4,89,86 (97%),49 (55%),14 (16%)
35766963,I,ACE-Breast-01,Breast cancer,ARX788,AS269,HER2,69,67 (97%),8 (12%),2 (3%)
31398081,I/II,CheckMate 436,Mediastinal B-cell lymphoma,Brentuximab Vedotin (SGN-35),MMAE,CD30,30,25 (83%),16 (53%),5 (17%)
