pmid,title,abstract,qid,nct_ids,pmcid
41348911,Venetoclax/FluBu2 RIC transplant followed by all-oral venetoclax/decitabine maintenance for poor-risk MDS/AML.,"To improve the tolerability of posttransplant maintenance and outcomes despite poor-risk disease genetics, we conducted a phase 1 study of venetoclax (Ven) with FluBu2 (fludarabine/busulfan) reduced-i…",6d09b924e073,NCT03613532,
40590852,"Impact of transplant conditioning, NPM1 mutations, and measurable residual disease in FLT3-ITD acute myeloid leukemia.","We conducted a post hoc analysis of data from Blood and Marrow Transplant Clinical Trials Network 1506 (MORPHO), a randomized trial of gilteritinib vs placebo as posttransplantation maintenance for pa…",6d09b924e073,NCT02997202,
39167766,Health-related quality of life with gilteritinib vs placebo posttransplant for FLT3-ITD+ acute myeloid leukemia.,The Blood and Marrow Transplant (BMT) Clinical Trials Network conducted a phase 3 randomized trial comparing gilteritinib with placebo after allogeneic hematopoietic cell transplantation (HCT) for FLT…,6d09b924e073,NCT02997202,
37480164,Children's Oncology Group's 2023 blueprint for research: Myeloid neoplasms.,"During the past decade, the outcomes of pediatric patients with acute myeloid leukemia (AML) have plateaued with 5-year event-free survival (EFS) and overall survival (OS) of approximately 46 and 64%,…",6d09b924e073,NCT00372593; NCT01371981,
38782575,Gilteritinib with or without venetoclax for relapsed/refractory FLT3-mutated acute myeloid leukaemia.,Patients with FLT3-mutated acute myeloid leukaemia (AML) that relapse or are refractory (R/R) to intensive induction have poor outcomes. Gilteritinib has recently become standard-of-care for patients …,6d09b924e073,,
25976987,NFATc1 as a therapeutic target in FLT3-ITD-positive AML.,Internal tandem duplications (ITD) in the Fms-related tyrosine kinase 3 receptor (FLT3) are associated with a dismal prognosis in acute myeloid leukemia (AML). FLT3 inhibitors such as sorafenib may im…,6d09b924e073,,
39348668,Measurable residual disease monitoring in AML with FLT3-ITD treated with intensive chemotherapy plus midostaurin.,Measurable residual disease (MRD) monitoring in acute myeloid leukemia (AML) with an FLT3 internal tandem duplication (FLT3-ITDpos) has been hampered by the broad heterogeneity of ITD mutations. Using…,6d09b924e073,,
36149461,Dose-finding trial of azacitidine as post-transplant maintenance for high-risk MDS: a KSGCT prospective study.,"This 3+3 dose-escalation phase I multicenter study investigated the optimal dose of azacitidine (AZA) for post-hematopoietic stem cell transplantation (HSCT) maintenance, which remains unknown in Japa…",6d09b924e073,,
42050760,GATA2 Mutations Predict Poor Prognosis in Transplanted Myeloid Neoplasms.,"GATA binding protein 2 (GATA2) plays a crucial role in the differentiation, proliferation, and maintenance of hematopoietic stem cells (HSCs). GATA2 mutations have been identified in acute myeloid leu…",6d09b924e073,,
35447373,Prognostic Factors for Outcomes of Allogeneic HSCT for Children and Adolescents/Young Adults With CML in the TKI Era.,"The breakthrough effects of tyrosine kinase inhibitors (TKIs) have lessened indications for allogeneic hematopoietic stem cell transplantation (HSCT) in chronic myeloid leukemia (CML). However, HSCT i…",6d09b924e073,,
36351633,Significance of Gene Diagnosis in Acute Myeloid Leukemia with the Emergence of New Molecular Target Drug Treatment.,Acute myeloid leukemia (AML) is a heterogeneous hematopoietic malignancy accompanied by impaired differentiation and autonomous proliferation of hematopoietic stem cells. Standard induction therapy re…,6d09b924e073,,
32518943,How I treat relapsed or refractory AML.,"Treatment of relapsed or refractory acute myeloid leukemia (AML) has presented challenges for hematologists for decades. Despite numerous clinical studies, outcomes are consistently disappointing with…",6d09b924e073,,
38776229,A retrospective study of an irradiation-based conditioning regimen and chidamide maintenance therapy in T-ALL/LBL.,"T-cell acute lymphoblastic leukemia/lymphoblastic lymphoma (T-ALL/LBL) are highly malignant and aggressive hematologic tumors for which there is no standard first-line treatment. Chidamide, a novel hi…",6d09b924e073,,
25314772,[Russian experts' clinical guidelines for acute myeloid leukemia treatment in patients less than 60 years of age].,The purpose of the paper is to present Russian experts' consolidated opinion about acute myeloid leukemia (AML) treatment in adult patients aged less than 60 years. The guidelines have been elaborated…,6d09b924e073,,
35877996,The role of allogeneic transplant for adult Ph+ ALL in CR1 with complete molecular remission: a retrospective analysis.,"Historically, Philadelphia chromosome-positive (Ph+) acute lymphoblastic leukemia (ALL) has been associated with poor outcomes, and allogeneic hematopoietic cell transplantation (allo-HCT) is recommen…",6d09b924e073,,
36576532,Molecular response patterns in relapsed/refractory AML patients treated with selinexor and chemotherapy.,Relapse in patients with acute myeloid leukemia (AML) is common and is associated with a dismal prognosis. Treatment options are limited and the understanding of molecular response patterns is still c…,6d09b924e073,,
33257285,Outcome and Prognostic Features in Pediatric Acute Megakaryoblastic Leukemia Without Down Syndrome: A Retrospective Study in China.,Acute megakaryoblastic leukemia (AMKL) is a biologically heterogeneous subtype of acute myeloid leukemia that originates from megakaryocytes. Patients with AMKL with non-Down syndrome (DS) had a poore…,6d09b924e073,,
38231480,Foretinib Is Effective in Acute Myeloid Leukemia by Inhibiting FLT3 and Overcoming Secondary Mutations That Drive Resistance to Quizartinib and Gilteritinib.,FLT3 internal tandem duplication (FLT3-ITD) mutations are one of the most prevalent somatic alterations associated with poor prognosis in patients with acute myeloid leukemia (AML). The clinically app…,6d09b924e073,,
35474239,"Clinical characteristics, treatment, and prognosis of 118 cases of myeloid sarcoma.",Myeloid sarcoma is a rare manifestation of acute myeloid leukemia (AML) and is associated with poor overall survival (OS). The optimal treatment remains unclear. The study retrospectively evaluated 11…,6d09b924e073,,
38978049,"Ningetinib, a novel FLT3 inhibitor, overcomes secondary drug resistance in acute myeloid leukemia.",FMS-like tyrosine kinase 3 internal tandem duplication (FLT3-ITD) is a common mutation type in acute myeloid leukemia (AML) and is usually associated with poor patient prognosis. With advancements in …,6d09b924e073,,
37581458,"A Single-center, Real-world Experience of Chronic GVHD Treatment Using Ibrutinib, Imatinib, and Ruxolitinib and its Treatment Outcomes.","Chronic graft-versus-host disease (cGVHD) is a common cause of morbidity and mortality following allogeneic hematopoietic stem cell transplantation. Tyrosine kinase inhibitors (TKIs), including ruxoli…",6d09b924e073,,
40126789,Clonal Evolution of Myeloid Malignancies Treated With Microtransplantation: A Single-Centre Experience.,Microtransplantation is a cellular therapy used in acute myeloid leukaemia and myelodysplastic syndromes as a maintenance therapy in patients ineligible for a regular allogeneic stem cell transplantat…,6d09b924e073,,
37647654,"Sorafenib plus intensive chemotherapy in newly diagnosed FLT3-ITD AML: a randomized, placebo-controlled study by the ALLG.",Sorafenib maintenance improves outcomes after hematopoietic cell transplant (HCT) for patients with FMS-like tyrosine kinase 3-internal tandem duplication (FLT3-ITD) acute myeloid leukemia (AML). Alth…,6d09b924e073,,
29431743,Sorafenib promotes graft-versus-leukemia activity in mice and humans through IL-15 production in FLT3-ITD-mutant leukemia cells.,Individuals with acute myeloid leukemia (AML) harboring an internal tandem duplication (ITD) in the gene encoding Fms-related tyrosine kinase 3 (FLT3) who relapse after allogeneic hematopoietic cell t…,6d09b924e073,,
40839405,Gilteritinib in FLT3-mutated acute myeloid leukemia: A real-world Italian experience.,This real-world study evaluated the clinical effectiveness of gilteritinib in 205 patients with relapsed or refractory (R/R) FLT3-mutated acute myeloid leukemia (AML) enrolled in the Italian expanded …,6d09b924e073,,
39706127,Effectiveness of ibrutinib in the management of chronic GVHD.,Chronic graft-versus-host disease (cGVHD) represents a significant adverse event that may ensue following allogeneic hematopoietic stem cell transplantation (Allo-HSCT). In patients resistant to corti…,6d09b924e073,,
9916638,Haemopoietic cell transplantation activity and results: a single institution experience.,"Between February 1993 and November 1997, 62 patients with severe aplastic anaemia (SAA), acute myeloid (AML), acute lymphoid (ALL), or chronic myeloid leukaemia (CML) as well as two patients with NHL …",6d09b924e073,,
29304116,The sorafenib anti-relapse effect after alloHSCT is associated with heightened alloreactivity and accumulation of CD8+PD-1+ (CD279+) lymphocytes in marrow.,We studied three FLT3 ITD acute myeloid leukemia (AML) patients who relapsed after allogeneic haematopoietic stem cell transplantation (alloHSCT) and received multikinase inhibitor (MKI) sorafenib as …,6d09b924e073,,
37418118,Prophylactic or pre-emptive therapies to prevent relapse after allogeneic hematopoietic stem cell transplantation.,"Allogeneic hematopoietic stem cell transplantation is a potent curative treatment for hematological malignancies, but relapse is still a major problem. Donor lymphocyte infusion (DLI) and maintenance …",6d09b924e073,,
38879112,Key role of glutamine metabolism in persistence of leukemic cells upon exposition to FLT3 tyrosine kinase inhibitors.,Acute myeloid leukemias are a group of hematological malignancies characterized by a poor prognosis for survival. The discovery of oncogenic mutations in the FMS-like tyrosine kinase 3 (FLT3) gene has…,6d09b924e073,,
20966165,Three decades of transplantation for chronic myeloid leukemia: what have we learned?,Last year marked 30 years of hematopoietic stem cell transplantation as a curative treatment of chronic myeloid leukemia (CML). Initially studies used stem cells from identical twins but techniques ra…,6d09b924e073,,
39265176,Outcomes with single-agent gilteritinib for relapsed or refractory FLT3-mutant AML after contemporary induction therapy.,"Gilteritinib is the current standard of care for relapsed or refractory fms related receptor tyrosine kinase 3 (FLT3)-mutated acute myeloid leukemia in many countries, however outcomes for patients re…",6d09b924e073,,
38616308,Frontline combination of dasatinib and low-intensity chemotherapy in adults with de novo Philadelphia chromosome-positive acute lymphoblastic leukemia.,"Studies on dasatinib-based low-intensity induction regimens and post-remission strategies are limited in China. Therefore, we conducted a single-center phase 2 trial in newly diagnosed adult patients …",6d09b924e073,NCT02690922,
33830026,Impact of Novel Targeted Therapies and Cytogenetic Risk Groups on Outcome After Allogeneic Transplantation for Adult ALL.,"Novel high-risk groups have recently been identified in adult acute lymphoblastic leukemia (ALL), including Philadelphia-like, therapy-related, and measurable residual disease after induction therapy.…",6d09b924e073,,
39489220,Representativeness of Blood and Marrow Transplant Clinical Trials Network (BMT CTN) Trial Participants.,"Underrepresentation by race and ethnicity in oncology clinical trials, including those of hematopoietic cell transplantation (HCT), is a known challenge. This analysis studied accrual on Blood and Mar…",6d09b924e073,,
33857784,Risk adapted therapeutic strategy in newly diagnosed acute myeloid leukemia: Refining the outcomes of ELN 2017 intermediate-risk patients.,"Despite advances in the treatment of acute myeloid leukemia (AML), cytotoxic chemotherapy remains the standard induction regimen. In this single center retrospective study, we assessed outcomes of 99 …",6d09b924e073,,
24965535,Outcome after HSCT in Philadelphia chromosome positive acute lymphoblastic leukemia in Sweden: a population-based study.,"Even in the tyrosine kinase inhibitor era, allogeneic hematopoietic stem cell transplantation (HSCT) is regarded as standard care for adult Philadelphia (Ph) positive acute lymphoblastic leukemia (ALL…",6d09b924e073,,
33204013,A new pre-emptive TKIs strategy for preventing relapse based on BCR/ABL monitoring for Ph+ALL undergoing allo-HCT: a prospective clinical cohort study.,Relapse is a major cause of treatment failure in Philadelphia-chromosome-positive acute lymphoblastic leukemia (Ph+ALL) undergoing allogeneic hematopoietic cell transplantation (allo-HCT). This study …,6d09b924e073,NCT01883219,
33554815,[Clinical Efficacy of the MDS Patients Treated by Allo-HSCT].,"To analyze clinical effectiveness of myelodysplastic syndrome (MDS) patients treated by allogeneic hematopoietic stem cell transplantation (allo-HSCT), and to investigate new therapy strategy for the …",6d09b924e073,,
33150464,"Outcome predictors after retransplantation in relapsed acute lymphoblastic leukemia: a multicenter, retrospective study.","Retransplantation is the only curative treatment option for patients with acute lymphoblastic leukemia (ALL) that has relapsed after allogeneic hematopoietic cell transplantation (allo-HCT); however, …",6d09b924e073,,
16343266,Allogeneic haematopoietic cell transplantation for chronic myelogenous leukaemia in the era of imatinib: a retrospective multicentre study.,To analyse the results of allogeneic haematopoietic cell transplantation (HCT) in patients with advanced stages of Philadelphia chromosome-positive chronic myelogenous leukaemia (CML) who had previous…,6d09b924e073,,
37414062,"Sorafenib maintenance after allogeneic haemopoietic stem-cell transplantation in patients with FLT3-ITD acute myeloid leukaemia: long-term follow-up of an open-label, multicentre, randomised, phase 3 trial.","Our open-label, multicentre, randomised, phase 3 trial showed that sorafenib maintenance after haematopoietic stem-cell transplantation (HSCT) improved overall survival and reduced relapse for patient…",6d09b924e073,NCT02474290,
30102945,Epigenetic modification enhances the cytotoxicity of busulfan and4-hydroperoxycyclophosphamide in AML cells.,"The combination of the DNA-alkylating agents busulfan (Bu) and cyclophosphamide is the most commonly used myeloablative pretransplantation conditioning therapy for myeloid leukemias. However, it is as…",6d09b924e073,,
26220759,Pretransplantation use of the second-generation tyrosine kinase inhibitors has no negative impact on the HCT outcome.,Allogeneic hematopoietic cell transplantation (HCT) was a standard therapy in chronic phase (CP) chronic myeloid leukemia (CML). As a result of the effective therapy with tyrosine kinase inhibitors (T…,6d09b924e073,,
39183099,Efficacy and Safety of Gilteritinib versus Sorafenib as Post-Transplant Maintenance in Patients With FLT3-ITD Acute Myeloid Leukemia.,"FLT3-ITD AML is associated with an increased risk of relapse, leading many patients to receive an allogeneic hematopoietic stem cell transplantation (alloHCT) after induction. Unfortunately, relapse r…",6d09b924e073,,
30185711,[Impact of peri-SCT immune modulation on Treg homeostasis and GVHD].,"Post allogeneic hematopoietic stem cell transplantation, CD4 ＋ CD25 ＋ Foxp3 ＋  regulatory T cells (Tregs) play a central role in the maintenance of self-tolerance and immune homeostasis. In recent yea…",6d09b924e073,,
27721370,Ruxolitinib treatment for GvHD in patients with myelofibrosis.,"Jak1/2 inhibitor ruxolitinib is a promising agent for treating steroid-refractory GvHD after allogeneic hematopoietic stem cell transplantation (SCT) to produce quick and durable responses. However, o…",6d09b924e073,,
37704613,"Impact of genetic patterns on sorafenib efficacy in patients with FLT3-ITD acute myeloid leukemia undergoing allogeneic hematopoietic stem cell transplantation: a multi-center, cohort study.",Sorafenib therapy improves overall survival (OS) in patients with FLT3 internal tandem duplication (ITD) acute myeloid leukemia (AML) undergoing allogeneic hematopoietic stem cell transplantation. We …,6d09b924e073,,
26065651,Nilotinib combined with multiagent chemotherapy for newly diagnosed Philadelphia-positive acute lymphoblastic leukemia.,"We investigated the effects of nilotinib plus multiagent chemotherapy, followed by consolidation/maintenance or allogeneic hematopoietic cell transplantation (allo-HCT) for adult patients with newly d…",6d09b924e073,NCT00844298,
35861214,Results of Multicenter Phase II Study With Imatinib Mesylate in Allogeneic Recipients With Steroid-Refractory Chronic GVHD.,"In this multicenter phase II study, we evaluated the safety and efficacy of imatinib in patients with steroid-resistant chronic graft-versus-host disease (cGVHD) and evaluated the quality of life (QOL…",6d09b924e073,,
29179634,Azacytidine in combination with tyrosine kinase inhibitors induced durable responses in patients with advanced phase chronic myelogenous leukemia.,"Although the tyrosine kinase inhibitor (TKI) era has brought great improvement in outcome in chronic myelogenous leukemia (CML), prognosis of accelerated phase or myeloid blast crisis patients or of d…",6d09b924e073,,
40577201,Post-transplant sorafenib effectively prevents relapse in FLT3-mutated acute myeloid leukemia.,Almost 50% of patients with FLT3-ITD AML relapse despite undergoing allogeneic hematopoietic stem cell transplantation (HSCT). FLT-3 inhibitors (FLT3i) can be used in a post-HSCT setting as a relapse …,6d09b924e073,,
26999641,Aberrant activation of the PI3K/mTOR pathway promotes resistance to sorafenib in AML.,"Therapy directed against oncogenic FLT3 has been shown to induce response in patients with acute myeloid leukemia (AML), but these responses are almost always transient. To address the mechanism of FL…",6d09b924e073,,
38548962,Management and outcome of patients with chronic myeloid leukemia in blast phase in the tyrosine kinase inhibitor era - analysis of the European LeukemiaNet Blast Phase Registry.,Blast phase (BP) of chronic myeloid leukemia (CML) still represents an unmet clinical need with a dismal prognosis. Due to the rarity of the condition and the heterogeneity of the biology and clinical…,6d09b924e073,,
36372140,Ruxolitinib on acute graft-versus-host disease prophylaxis after modified donor lymphocyte infusion.,To evaluate the effectiveness of ruxolitinib on acute graft-versus-host disease (aGVHD) prophylaxis and its impact on graft-versus-leukemia (GVL) effect in patients after modified donor lymphocyte inf…,6d09b924e073,,
39362494,"N-803, an IL-15 Superagonist Complex as Maintenance Therapy After Allogeneic Donor Stem Cell Transplant for Acute Myeloid Leukemia or Myelodysplastic Syndrome; A Phase 2 Trial.",Maintenance therapy may improve natural killer (NK) cell surveillance after allogeneic donor hematopoietic cell transplant (HCT) for myeloid malignancies and represents a potential approach to improve…,6d09b924e073,,
34334272,A case of inflammatory myopathy in graft vs host disease - A potential role for ibrutinib.,"Myositis is a known complication of chronic graft-vs-host disease (cGVHD) following allogeneic haematopoietic stem cell transplantation, but can be difficult to diagnose and manage. We present the cas…",6d09b924e073,,
27812545,Low-dose IL-2 selectively activates subsets of CD4 +  Tregs and NK cells.,CD4 +  regulatory T cells (CD4Tregs) play a critical role in the maintenance of immune tolerance and prevention of chronic graft-versus-host disease (GVHD) after allogeneic hematopoietic stem cell tra…,6d09b924e073,,
33831397,Homoharringtonine synergizes with quizartinib in FLT3-ITD acute myeloid leukemia by targeting FLT3-AKT-c-Myc pathway.,"Acute myeloid leukemia (AML) with FLT3 internal tandem duplication (FLT3-ITD) has a dismal prognosis. FLT3 inhibitors have been developed to treat patients with FLT3-ITD AML; however, when used alone,…",6d09b924e073,,
32791048,"Sorafenib maintenance in patients with FLT3-ITD acute myeloid leukaemia undergoing allogeneic haematopoietic stem-cell transplantation: an open-label, multicentre, randomised phase 3 trial.",Findings of retrospective studies suggest that sorafenib maintenance post-transplantation might reduce relapse in patients with FLT3 internal tandem duplication (FLT3-ITD) acute myeloid leukaemia unde…,6d09b924e073,NCT02474290,
39113090,Concomitant targeting of FLT3 and SPHK1 exerts synergistic cytotoxicity in FLT3-ITD +  acute myeloid leukemia by inhibiting β-catenin activity via the PP2A-GSK3β axis.,Approximately 25-30% of patients with acute myeloid leukemia (AML) have FMS-like receptor tyrosine kinase-3 (FLT3) mutations that contribute to disease progression and poor prognosis. Prolonged exposu…,6d09b924e073,,
41070588,Clinical outcomes of allogeneic cell transplantation for patients with chronic myeloid leukemia.,Allogeneic hematopoietic cell transplantation (allo-HCT) remains a key treatment for patients with chronic myeloid leukemia (CML) in blast phase (CML-BP) or tyrosine kinase inhibitor (TKI)-resistant c…,6d09b924e073,,
39506591,Characteristics and Outcome of FLT3-ITD-Positive Acute Myeloid Leukemia.,"AML patients with FLT3-ITD mutation experience a poor prognosis. Our study evaluated the clini¬cal characteristics, remission, relapse, and clinical outcomes of these patients. We also assessed the ef…",6d09b924e073,,
21871246,Late relapses following high-dose autologous stem cell transplantation (HD-ASCT) for Hodgkin's lymphoma (HL) in the ABVD therapeutic era.,Salvage chemotherapy followed by high-dose autologous stem cell transplantation (HD-ASCT) is the standard of care for patients who have relapsed or refractory Hodgkin's lymphoma (HL). Few trials have …,6d09b924e073,,
39589497,Central nervous system relapse after allogeneic HCT in FLT3-mutated AML.,"Central nervous system (CNS) relapse in acute myeloid leukemia (AML) is rare, but prognostically extremely unfavorable and associated with very high mortality rates. Aim of our single-center study was…",6d09b924e073,,
35228711,Gilteritinib enhances graft-versus-leukemia effects against FLT3-ITD mutant leukemia after allogeneic hematopoietic stem cell transplantation.,"Allogeneic hematopoietic stem cell transplantation (allo-SCT) is a potentially curative therapy for FLT3 internal tandem duplication mutant (FLT3-ITD + ) acute myeloid leukemia, but relapse rate is hi…",6d09b924e073,,
35231083,How I treat with maintenance therapy after allogeneic HCT.,Disease relapse is the leading cause of failure for patients receiving allogeneic hematopoietic cell transplantation (allo-HCT). Maintenance therapy administered after allo-HCT is a promising strategy…,6d09b924e073,,
24040278,Reasons for non-completion of health related quality of life evaluations in pediatric acute myeloid leukemia: a report from the Children's Oncology Group.,Health related quality of life (HRQL) assessments during therapy for pediatric cancer are important. The objective of this study was to describe reasons for failure to provide HRQL assessments during …,6d09b924e073,,
35917188,Murine CAR19 Tregs suppress acute graft-versus-host disease and maintain graft-versus-tumor responses.,"Allogeneic hematopoietic stem cell transplantation (allo-HSCT) efficacy is complicated by graft-versus-host disease (GVHD), a leading cause of morbidity and mortality. Regulatory T cells (Tregs) have …",6d09b924e073,,
35981392,[Hyperthyroidism after Allogeneic Hematopoietic Stem Cell Transplantation].,"To investigate the clinical characteristics, etiology, therapy and outcome of hyperthyroidism after allogeneic hematopoietic stem cell transplantation (HSCT). The clinical data of 7 patients who exper…",6d09b924e073,,
33616652,Addition of lenalidomide to intensive treatment in younger and middle-aged adults with newly diagnosed AML: the HOVON-SAKK-132 trial.,"Lenalidomide, an antineoplastic and immunomodulatory drug, has therapeutic activity in acute myeloid leukemia (AML), but definitive studies about its therapeutic utility have been lacking. In a phase …",6d09b924e073,,
